parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_1,0,0.0,0.006999999999999999,0.0034999999999999996,-244924556862.3724
param_1,1,0.006999999999999999,0.014,0.010499999999999999,-4009907620.69527
param_1,2,0.014,0.021,0.0175,-3897396163.81123
param_1,3,0.021,0.028,0.0245,-3319374603.163041
param_1,4,0.028,0.035,0.0315,-4264162237.729831
param_1,5,0.035,0.042,0.038500000000000006,-3638149348.934374
param_1,6,0.042,0.04899999999999999,0.0455,-3730970585.70615
param_1,7,0.04899999999999999,0.05599999999999999,0.05249999999999999,-3852873102.355525
param_1,8,0.05599999999999999,0.063,0.0595,-4119448589.2072
param_1,9,0.063,0.07,0.0665,-3455134664.009766
param_1,10,0.07,0.077,0.07350000000000001,-3668668888.469403
param_1,11,0.077,0.08399999999999999,0.08049999999999999,-3741222706.076859
param_1,12,0.08399999999999999,0.091,0.0875,-3610600010.894864
param_1,13,0.091,0.09799999999999999,0.0945,-3565009730.704127
param_1,14,0.09799999999999999,0.105,0.10149999999999999,-4072658824.834927
param_1,15,0.105,0.112,0.1085,-3993862897.411511
param_1,16,0.112,0.119,0.11549999999999999,-3464149751.225472
param_1,17,0.119,0.126,0.1225,-3822308728.366724
param_1,18,0.126,0.133,0.1295,-3888694864.584975
param_1,19,0.133,0.14,0.1365,-3251244778.790893
param_1,20,0.14,0.147,0.14350000000000002,-3719298683.089934
param_1,21,0.147,0.154,0.1505,-3745187139.657951
param_1,22,0.154,0.161,0.1575,-3606019044.85602
param_1,23,0.161,0.168,0.1645,-3834148359.955774
param_1,24,0.168,0.175,0.17149999999999999,-3253102452.152975
param_1,25,0.175,0.182,0.1785,-3107502091.326426
param_1,26,0.182,0.189,0.1855,-3542644530.041692
param_1,27,0.189,0.196,0.1925,-3273803157.150202
param_1,28,0.196,0.203,0.1995,-3809587399.767792
param_1,29,0.203,0.21,0.20650000000000002,-3549328951.421504
param_1,30,0.21,0.217,0.2135,-3635362126.182281
param_1,31,0.217,0.224,0.2205,-3453390116.67616
param_1,32,0.224,0.231,0.2275,-3261925942.193063
param_1,33,0.231,0.238,0.2345,-3884127942.858482
param_1,34,0.238,0.245,0.2415,-3432084420.156506
param_1,35,0.245,0.252,0.2485,-3223484329.459334
param_1,36,0.252,0.259,0.2555,-3343430564.717086
param_1,37,0.259,0.266,0.2625,-2808374450.269191
param_1,38,0.266,0.273,0.2695,-3306632955.14004
param_1,39,0.273,0.28,0.2765,-2911483105.688501
param_1,40,0.28,0.287,0.2835,-2990938550.308184
param_1,41,0.287,0.294,0.2905,-2632307893.420629
param_1,42,0.294,0.301,0.2975,-3074450112.679999
param_1,43,0.301,0.308,0.3045,-3093364084.673158
param_1,44,0.308,0.3149999999999999,0.31149999999999994,-3298784922.693234
param_1,45,0.3149999999999999,0.322,0.31849999999999995,-2652622786.915236
param_1,46,0.322,0.329,0.3255,-2788534623.953456
param_1,47,0.329,0.336,0.3325,-2970312185.892641
param_1,48,0.336,0.343,0.3395,-3269206180.726519
param_1,49,0.343,0.35,0.34650000000000003,-2597769017.928371
param_1,50,0.35,0.357,0.3535,-3103521333.339704
param_1,51,0.357,0.364,0.3605,-3125625573.046548
param_1,52,0.364,0.3709999999999999,0.36749999999999994,-2959709774.324669
param_1,53,0.3709999999999999,0.3779999999999999,0.3744999999999999,-3066597206.898324
param_1,54,0.3779999999999999,0.385,0.38149999999999995,-2805300859.811119
param_1,55,0.385,0.392,0.3885,-2936759305.835623
param_1,56,0.392,0.399,0.3955,-3408935696.689286
param_1,57,0.399,0.4059999999999999,0.40249999999999997,-3574728451.814854
param_1,58,0.4059999999999999,0.413,0.4095,-3124393169.53857
param_1,59,0.413,0.42,0.4165,-2677338604.621595
